Date,IDBI,CANBK,BPCL,ADANIPORTS,MRF,HDFCAMC,BANKBARODA,KARURVYSYA,UNIONBANK,IFCI
2022-11-10,46.97955477577123,55.79075474883128,132.68481419966616,881.609349704303,87077.43067804644,1966.735885905348,151.8368469330854,77.09242721076868,61.16194728756951,12.177785991726084
2022-11-11,45.53835977458454,55.265384417538,134.02449360234394,883.6212644649327,85837.72534246749,1981.9876303570893,148.4565348361691,80.54164143595592,61.25240655236115,11.896344145377183
2022-11-14,44.837483907133816,55.289944389289744,133.6205457884831,884.4163530607182,85895.97636649637,1956.7395545148547,150.18329336100828,81.52180966122735,59.30626010877598,12.021421882414788
2022-11-15,45.09778749087548,56.146906431859655,134.0254729617169,895.195275865814,87220.63091076154,1960.8338517296772,149.52650568882763,82.11281270209209,57.80780129390692,11.887597025691113
2022-11-16,44.47338413312673,55.81141118502278,133.10086474248357,877.332083685963,87346.84307984685,1953.6521663679832,150.0023370792941,84.33171777010362,60.45028350431215,11.694919437405217
2022-11-17,44.44715103811544,55.774491432097534,132.41639346973602,879.8214095044857,87542.52276154279,1931.570212943803,150.16764761283997,82.79536187453242,64.38073506994436,11.77505555572251
2022-11-18,46.040988033882414,56.23274460848524,132.06315267231784,877.6448705358553,87801.87662880654,1938.2690249542056,149.54825721582998,82.78441261271101,67.63363667569234,11.795878842824552
2022-11-21,47.39857443379423,56.99140636288252,134.6270944241167,861.4697198605213,88740.5324968289,1953.8967002609415,148.65107006024738,83.40268662520825,69.79255194535924,12.732178328354092
2022-11-22,46.75372878950528,57.962386615509274,133.3299099632661,870.7601001544666,88634.3909985459,1984.4985361954932,152.92638448397136,82.1578190502783,70.25184293766132,12.752600074503048
2022-11-23,46.16245539459856,59.01960473219084,134.62308877446418,863.0705820630732,88653.24221424905,2008.135086420946,155.04241705725855,82.36426776752683,69.47709496622514,13.28599892464823
2022-11-24,46.63191636123593,59.61464296122211,139.28420781882494,866.7219737174727,89045.62186790208,2006.2217216444428,156.172074200011,82.88930047343067,71.9007041526595,13.0184251933176
2022-11-25,48.46159114032925,59.38358470374568,140.92500265657762,868.625909681734,89604.39840376136,2040.0939293986105,154.04129265252362,83.20979737178325,70.08178234553012,13.246604536376312
2022-11-28,50.26714440736203,58.91932567451568,147.85940000673008,867.5805056906378,91134.91213492284,2041.895513468437,154.09939862083658,82.4988714128372,72.80990962768854,13.486641264470697
2022-11-29,51.654685138390185,58.40598134710822,147.27896607014526,867.3508709834412,92227.27504557165,2050.6311799842524,153.856088592379,80.46555154319873,75.2318120961077,13.460723094969625
2022-11-30,50.93183698935944,57.19353154418204,148.05325309464146,870.6196288059537,93233.12192196625,2065.0274994476467,152.69080926313129,80.73866684990153,74.8830889971897,13.24773073403934
2022-12-01,50.56718696356873,58.25181176225445,147.08615303543357,879.141153374758,93936.75037349458,2074.672689670007,157.54176159420825,80.698679323027,74.63598660993733,13.206879807457907
2022-12-02,51.25407975510476,58.040424017664016,147.93993187484662,878.2300474336747,94268.58190967812,2068.6842489929827,157.08715100411248,80.1408611184002,75.10243430521024,13.89370366389806
2022-12-05,51.66679838661742,58.57650051722326,146.93373045494553,882.1523561633757,94311.95890769312,2062.629556562868,157.85052784132134,80.19189583595428,75.99118711598379,14.422405131111644
2022-12-06,55.83396941658346,57.858205604452024,142.77585779643977,885.1603985016598,94095.80260023694,2070.106557999409,159.95556494713182,81.49520744743124,80.70499767219465,14.147132403353464
2022-12-07,56.05632394549461,57.06283798693536,145.15007732727446,876.4840770386262,92547.1895170943,2144.8400931496262,162.07417466230325,81.68246388010004,79.52868860161874,13.8182979762838
2022-12-08,55.12482859922344,58.86073531112649,145.71959025458204,881.0674981977281,90819.55237209544,2163.104402624952,172.53703571310666,89.43585158277375,80.9589449432827,14.186661374926498
2022-12-09,52.12120586155428,57.700789815324626,147.0332744167607,880.0364012925293,91165.59358574412,2125.8721928397317,173.11016520989358,87.30615447803886,76.69649006357145,14.715371700474364
2022-12-12,52.67228138565323,58.30114881675831,151.39849783544398,871.5616599808092,90997.16483975048,2113.5283334291307,174.64136506335058,87.59773162907332,80.36648840299772,15.329178649603088
2022-12-13,55.25711276798102,59.31043585794433,150.31721564404253,883.8338416796518,90640.71159212962,2120.7328689810156,177.0967715078283,88.52165042318802,85.88106680027212,16.007206451236158
2022-12-14,54.524567718559254,59.48046109144646,151.48592986123973,888.6480226078476,90852.27377963762,2139.9644617335116,175.653097640308,89.82001337323689,86.2770453974756,15.781195528632502
2022-12-15,55.87535207206474,58.23740811894247,151.5169106620697,873.3375114931275,90498.61921323257,2129.9622865099923,169.39570866805192,91.02189563474244,82.52189516995008,15.8557243504054
2022-12-16,54.522649177884496,56.56922328931141,148.54481883611024,850.884094280659,88839.92358084128,2114.0087454521195,167.23030909111168,89.74239364161059,77.71180701149144,15.49330479235947
2022-12-19,54.43831261462173,57.759944950343886,148.18084022765743,881.9820147663604,89575.89071461296,2160.983187986538,167.41843715960073,92.12108164042388,77.96513143491102,15.86904019970234
2022-12-20,53.172374668015486,58.49736189657952,147.59610738611755,873.2353953259072,88644.77604980946,2144.1678614882235,168.44266394662566,91.30941537942616,76.78105025989531,15.65775174852264
2022-12-21,51.16261420636705,57.20072076866914,145.09230322446817,847.8854165365848,87900.24118005883,2103.9204127527214,163.07655996010035,88.3737915461216,74.46765336691243,13.671582566433298
2022-12-22,49.28214810718374,56.62804355495871,142.50119435472868,845.7852811807463,87836.35112275009,2058.8735186250183,162.0089736926018,88.14100164907663,69.73967775544263,13.344713362926909
2022-12-23,46.49742195326943,53.0137668669785,141.1255620485389,784.7642403677561,85786.82440711219,1959.8547542556369,155.28415589199014,82.64326852151008,61.954745585754885,12.109807988968225
2022-12-26,49.299871976135115,55.31934160538397,141.09633087748864,796.8788476833262,87245.22437401183,2013.2741785381445,162.38459403973434,87.64018436168146,73.46719044903259,13.199671713329836
2022-12-27,50.37480843107094,55.83458632891986,141.53243359130016,806.9366530908515,87800.0055422454,2042.566050611957,163.0554587931364,88.09445533302801,75.86937735876657,13.322534645318074
2022-12-28,50.60055671471059,57.409316205771226,140.85829351159327,801.0383413001073,87570.04655106153,2033.6540140400243,166.9663946666991,87.54435462232479,72.88311499033283,13.644634595247544
