Date,Open,High,Low,Close,Volume
,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS
2015-01-01,134.7220090317434,136.50378435646556,134.6626219584661,136.22662353515625,1849323
2015-01-02,136.2464115919141,139.57239571047128,136.2464115919141,138.26576232910156,3736468
2015-01-05,137.39464631832203,141.7501023390914,136.9987023619439,139.82974243164062,6074619
2015-01-06,138.00836320314593,138.16674077440322,130.90105641078014,131.91073608398438,9024997
2015-01-07,131.85137258008496,135.2367438473283,129.91121966451286,133.85092163085938,8937670
2015-01-08,135.79104869276233,136.14740731097254,132.84122547842105,135.33570861816406,6578931
2015-01-09,137.43424591381486,141.31456027116676,133.19758198224008,138.97845458984375,13223764
2015-01-12,139.39417735449862,139.53276225295906,136.3849583544399,137.6717987060547,3157549
2015-01-13,137.7905937542964,138.02816011849757,133.9498831575885,134.6031951904297,7395021
2015-01-14,134.6230275554219,136.9987279883848,134.2270744624021,136.22662353515625,6704722
2015-01-15,138.18657925861356,139.77037351761413,135.67229386453428,137.1967010498047,10737987
2015-01-16,136.60277361798822,139.37442711805306,135.9494523800015,137.43426513671875,4284924
2015-01-19,138.22615554146424,139.77035519468478,136.91952227717707,137.59263610839844,3049690
2015-01-20,139.1764573335255,139.1764573335255,137.51347416114623,138.70132446289062,4842070
2015-01-21,138.6418910449184,138.78047595954698,136.24638935129659,137.01849365234375,8863149
2015-01-22,137.3946529611097,140.50286301312377,136.89971846041973,139.7307586669922,8061763
2015-01-23,140.56224957125363,140.95819351981908,137.61241731027286,138.10736083984375,6424399
2015-01-27,138.58251276376458,139.21603223175106,137.01851129396746,138.68150329589844,4689873
2015-01-28,138.58251541273023,141.15619679678665,138.00839206556532,140.12672424316406,7037476
2015-01-29,139.37444853473468,140.76027096642767,137.59267295288117,139.33485412597656,10551229
2015-01-30,139.3347780550954,140.740392392472,137.81037149372068,139.11700439453125,6162442
2015-02-02,140.56227575824278,141.6709371459236,138.02818870243905,138.52313232421875,3717522
2015-02-03,139.61202186990835,142.93800674503177,139.37445540564798,142.32427978515625,7617916
2015-02-04,144.97709361804073,148.00610562811633,143.37348889570973,145.9273681640625,12396304
2015-02-05,145.74923431684547,145.90762100939997,140.1861430320331,141.21560668945312,3953791
