Date,Denoised_Close
2024-10-17,125.44356536865232
2024-10-18,125.44356536865232
2024-10-21,121.35311126708983
2024-10-22,121.35311126708983
2024-10-23,120.38637161254881
2024-10-24,120.38637161254881
2024-10-25,116.68456649780272
2024-10-28,116.68456649780272
2024-10-29,117.27724075317381
2024-10-30,117.27724075317381
2024-10-31,119.1864433288574
2024-11-01,119.1864433288574
2024-11-04,117.5104293823242
2024-11-05,117.5104293823242
2024-11-06,120.60984039306638
2024-11-07,120.60984039306638
2024-11-08,119.16397857666014
2024-11-11,119.16397857666014
2024-11-12,114.57039260864256
2024-11-13,114.57039260864256
2024-11-14,113.09632492065428
2024-11-18,113.09632492065428
2024-11-19,118.06700134277342
2024-11-21,118.06700134277342
2024-11-22,115.40291595458982
2024-11-25,115.40291595458982
2024-11-26,118.90932464599608
2024-11-27,118.90932464599608
2024-11-28,123.54209136962889
2024-11-29,123.54209136962889
2024-12-02,131.57841491699216
2024-12-03,131.57841491699216
2024-12-04,139.0662689208984
2024-12-05,139.0662689208984
2024-12-06,139.51190948486328
2024-12-09,139.51190948486328
2024-12-10,136.00550842285156
2024-12-11,136.00550842285156
2024-12-12,130.95157623291013
2024-12-13,130.95157623291013
2024-12-16,132.95944213867185
2024-12-17,132.95944213867185
2024-12-18,128.37564468383786
2024-12-19,128.37564468383786
2024-12-20,122.79771423339841
2024-12-23,122.79771423339841
2024-12-24,122.91524505615233
2024-12-26,122.91524505615233
2024-12-27,120.86820983886717
2024-12-30,120.86820983886717
2024-12-31,119.6683883666992
2025-01-01,119.6683883666992
2025-01-02,122.17576599121091
2025-01-03,122.17576599121091
2025-01-06,123.43924713134763
2025-01-07,123.43924713134763
2025-01-08,130.5157318115234
2025-01-09,130.5157318115234
2025-01-10,119.68308258056639
2025-01-13,119.68308258056639
2025-01-14,120.97594833374022
2025-01-15,120.97594833374022
2025-01-16,119.55575561523436
2025-01-17,119.55575561523436
2025-01-20,118.29227447509764
2025-01-21,118.29227447509764
2025-01-22,116.90146255493161
2025-01-23,116.90146255493161
2025-01-24,110.1139221191406
2025-01-27,110.1139221191406
2025-01-28,102.75341033935544
2025-01-29,102.75341033935544
2025-01-30,102.8562431335449
2025-01-31,102.8562431335449
2025-02-01,105.60358428955077
2025-02-03,105.60358428955077
2025-02-04,106.60261917114255
2025-02-05,106.60261917114255
2025-02-06,106.73484039306639
2025-02-07,106.73484039306639
2025-02-10,100.47130203247067
2025-02-11,100.47130203247067
2025-02-12,97.79742431640624
2025-02-13,97.79742431640624
2025-02-14,94.6729965209961
2025-02-17,94.6729965209961
2025-02-18,96.65147018432617
2025-02-19,96.65147018432617
2025-02-20,97.15098571777341
2025-02-21,97.15098571777341
2025-02-24,96.01483154296874
2025-02-25,96.01483154296874
2025-02-27,93.16464996337889
2025-02-28,93.16464996337889
