Date,Denoised_Close
2024-11-07,5615.31103515625
2024-11-08,5643.192819120615
2024-11-11,5248.490931454174
2024-11-12,4937.045120519767
2024-11-13,4833.498416642473
2024-11-14,4827.717355016307
2024-11-18,4816.4642669088225
2024-11-19,4805.237409001377
2024-11-21,4826.395644025251
2024-11-22,4762.220938923304
2024-11-25,4845.055842432244
2024-11-26,4924.67536332154
2024-11-27,4880.322416200518
2024-11-28,4836.368923616737
2024-11-29,4827.201949924122
2024-12-02,4820.3903830862755
2024-12-03,4787.329708680737
2024-12-04,4765.851904570747
2024-12-05,4775.3340342436195
2024-12-06,4784.835029543233
2024-12-09,4755.336452791984
2024-12-10,4702.9441418772985
2024-12-11,4667.478983736294
2024-12-12,4743.995707474304
2024-12-13,4752.920001174912
2024-12-16,4761.861083047972
2024-12-17,4744.098113418654
2024-12-18,4699.377893839826
2024-12-19,4636.6437551701
2024-12-20,4616.626880064521
2024-12-23,4639.202225184624
2024-12-24,4661.887963936382
2024-12-26,4674.2555170566875
2024-12-27,4686.655880139687
2024-12-30,4674.08878779819
2024-12-31,4680.428832143348
2025-01-01,4692.760192477742
2025-01-02,4705.1240418111465
2025-01-03,4686.77953528771
2025-01-06,4708.831379458615
2025-01-07,4742.450756984784
2025-01-08,4776.310164882433
2025-01-09,4812.533544837896
2025-01-10,4854.390577366686
2025-01-13,4814.797788464204
2025-01-14,4779.046496864657
2025-01-15,4770.321970664512
2025-01-16,4761.613371774861
2025-01-17,4781.65788865519
2025-01-20,4801.786785056826
2025-01-21,4836.729036239151
2025-01-22,4871.9255596272915
2025-01-23,4942.624271076274
2025-01-24,5014.348923447255
2025-01-27,4927.359399064361
2025-01-28,4975.043075709446
2025-01-29,4988.169062540198
2025-01-30,4989.576667257305
2025-01-31,5051.138886627525
2025-02-01,5113.460670807853
2025-02-03,5027.710223475121
2025-02-04,4943.3977727734655
2025-02-05,4942.303091968368
2025-02-06,4872.780988071715
2025-02-07,4887.754414109617
2025-02-10,4827.652557728513
2025-02-11,4831.913314616801
2025-02-12,4836.177831935037
2025-02-13,4862.566891745918
2025-02-14,4857.446797298245
2025-02-17,4810.61765065219
2025-02-18,4810.153546827547
2025-02-19,4781.212541122768
2025-02-20,4752.445663292089
2025-02-21,4738.626814625507
2025-02-24,4724.848147497442
2025-02-25,4714.266018201202
2025-02-27,4703.70758944664
2025-02-28,4681.528922381346
2025-03-03,4521.391865425137
2025-03-04,4644.163177416503
2025-03-05,4645.601607536663
2025-03-06,4667.681835697499
2025-03-07,4671.484204545151
2025-03-10,4678.2991262957075
2025-03-11,4685.123989888392
2025-03-12,4646.010784653779
2025-03-13,4652.210740977136
2025-03-17,4629.111052638498
2025-03-18,4599.864870442839
2025-03-19,4698.200176124214
2025-03-20,4753.888923607972
2025-03-21,4737.00755959589
2025-03-24,4720.186142388516
2025-03-25,4746.166793010059
2025-03-26,4772.290445239242
2025-03-27,4842.9321729000585
2025-03-28,4858.490625617259
