Date,Denoised_Close
2024-11-04,784.1643676757812
2024-11-05,784.9960049949626
2024-11-06,762.3222898760619
2024-11-07,789.3239802855658
2024-11-08,779.9509104629308
2024-11-11,763.8859124626656
2024-11-12,748.4165900801007
2024-11-13,735.4460337820075
2024-11-14,733.2366943130583
2024-11-18,746.319645939424
2024-11-19,756.0899428182366
2024-11-21,760.4254717227673
2024-11-22,780.0673990262698
2024-11-25,808.9229345046489
2024-11-26,806.2121452267155
2024-11-27,809.3230437189524
2024-11-28,817.5141816117206
2024-11-29,808.6051320531843
2024-12-02,807.4152158244866
2024-12-03,832.2152526424268
2024-12-04,833.8352262779586
2024-12-05,835.4583533219042
2024-12-06,841.5529306037497
2024-12-09,847.6919671600722
2024-12-10,854.0797321392904
2024-12-11,860.5156319870817
2024-12-12,863.3245535780574
2024-12-13,855.7128434775882
2024-12-16,836.6477134486315
2024-12-17,857.3287042342362
2024-12-18,851.3021442286533
2024-12-19,849.4235461700324
2024-12-20,862.3780974098321
2024-12-23,829.671544447339
2024-12-24,826.9399948195488
2024-12-26,824.217438345036
2024-12-27,811.1217777555207
2024-12-30,806.5381097829815
2024-12-31,807.002319813685
2025-01-01,810.2764155002033
2025-01-02,804.0067271351845
2025-01-03,813.7831921268833
2025-01-06,817.9188792419744
2025-01-07,796.8579108476598
2025-01-08,775.9100748430174
2025-01-09,767.2400645515249
2025-01-10,725.874108070075
2025-01-13,698.6040733010192
2025-01-14,710.3004796557475
2025-01-15,722.1927135569264
2025-01-16,729.3715530910004
2025-01-17,736.1503583536228
2025-01-20,714.960841631684
2025-01-21,725.275401266948
2025-01-22,725.7762956182232
2025-01-23,702.8419290249384
2025-01-24,710.8410226630066
2025-01-27,691.9114826310213
2025-01-28,710.4013183148166
2025-01-29,732.708894571758
2025-01-30,728.6015700984632
2025-01-31,732.3739822098894
2025-02-01,721.5967978783285
2025-02-03,735.9404794720763
2025-02-04,737.8796284833653
2025-02-05,750.452131465323
2025-02-06,744.765488824429
2025-02-07,744.6097529237829
2025-02-10,721.5616731570221
2025-02-11,697.0825193239352
2025-02-12,696.9583252045511
2025-02-13,669.1448981047592
2025-02-14,669.8763382992843
2025-02-17,663.3530466213896
2025-02-18,680.4646980172968
2025-02-19,678.5138726155049
2025-02-20,670.7874069938923
2025-02-21,674.6927519706177
2025-02-24,658.483327632185
2025-02-25,645.7427799822032
2025-02-27,638.172266534005
2025-02-28,624.857503064968
2025-03-03,621.6588210678275
2025-03-04,632.4927620180132
2025-03-05,636.9411995348299
2025-03-06,654.1372924796539
2025-03-07,635.2671837087547
2025-03-10,636.2644711629188
2025-03-11,631.8424107026598
2025-03-12,657.5357109523093
2025-03-13,654.2905443551414
2025-03-17,644.612819377569
2025-03-18,685.2284370129142
2025-03-19,685.955148865524
2025-03-20,686.8084935023599
2025-03-21,684.3369486371711
2025-03-24,674.5941245417432
2025-03-25,683.6694170178445
2025-03-26,691.0324142412353
2025-03-27,677.1037180057434
2025-03-28,660.5086267373246
2025-04-01,652.1333906705186
2025-04-02,649.8657274895903
2025-04-03,668.826365420272
2025-04-04,622.5915222641257
2025-04-07,598.0364854411321
2025-04-08,590.2998380349309
2025-04-09,602.7797154583479
2025-04-11,640.0317117002276
2025-04-15,651.9372798957202
2025-04-16,664.3094458093645
2025-04-17,658.4490528048285
2025-04-21,666.6157429106674
2025-04-22,673.7956977329145
2025-04-23,667.4558718898991
2025-04-24,669.3788815023025
2025-04-25,679.2697126735453
2025-04-28,653.0888039609289
2025-04-29,667.7110951797057
2025-04-30,663.3401417489199
2025-05-02,672.2228364490549
2025-05-05,682.4760731320146
2025-05-06,683.8687625983098
2025-05-07,668.230500815013
2025-05-08,644.4168889906663
2025-05-09,621.4519186267572
2025-05-12,619.6909003201193
2025-05-13,666.9059980984337
2025-05-14,685.904716556879
2025-05-15,697.6110993759655
2025-05-16,718.0656478803127
2025-05-19,725.764317003194
2025-05-20,745.8477019093451
2025-05-21,762.6648009170375
2025-05-22,763.3286465725176
2025-05-23,763.993070058591
2025-05-26,761.1198740338796
2025-05-27,761.5868946236104
2025-05-28,782.2358620050642
2025-05-29,780.9937940085657
2025-05-30,792.7440579374902
2025-06-02,797.6795595998396
2025-06-03,795.69345720718
2025-06-04,790.50115835414
2025-06-05,841.9830616224665
2025-06-06,866.2469549685733
2025-06-09,856.7146990068295
2025-06-10,854.1030908082012
2025-06-11,834.6531601410787
2025-06-12,834.2968613194842
2025-06-13,841.0077111418167
2025-06-16,845.2722492035849
2025-06-17,838.256685651345
2025-06-18,831.2993496488701
2025-06-19,844.6207662086985
2025-06-20,840.6175995230476
2025-06-23,838.2774326322867
2025-06-24,835.9437804529472
2025-06-25,829.7365552017927
2025-06-26,833.5937284134774
2025-06-27,826.5932554555651
2025-06-30,824.4480636931125
2025-07-01,814.0326383676603
2025-07-02,818.6590753032536
2025-07-03,824.0069775334744
2025-07-04,822.7017472653404
2025-07-07,832.1068148185502
2025-07-08,829.5056334777605
2025-07-09,830.5255448351251
2025-07-10,818.3509111349298
2025-07-11,829.330119206584
2025-07-14,813.8035568681472
2025-07-15,823.4852505446839
2025-07-16,830.9313210384887
2025-07-17,829.9977791717812
2025-07-18,831.8209593209531
2025-07-21,825.7762181342299
2025-07-22,832.1303140266044
2025-07-23,820.1644651140004
2025-07-24,815.8510162788081
2025-07-25,783.7958036808118
2025-07-28,780.4588681404686
2025-07-29,770.0236398216489
2025-07-30,782.0700360254671
2025-07-31,776.068517376747
2025-08-01,770.7689164133204
2025-08-04,760.0178007399469
2025-08-05,774.3162708353021
