Date,Close
2022-01-03,4803.5986328125
2022-01-04,4774.879916252028
2022-01-05,4770.5180773082075
2022-01-06,4722.4588860605945
2022-01-07,4663.028550907173
2022-01-10,4641.599018840011
2022-01-11,4621.76958758464
2022-01-12,4591.455677743984
2022-01-13,4639.9493604168265
2022-01-14,4617.330887639467
2022-01-17,4593.125509019802
2022-01-18,4552.4205060050535
2022-01-19,4480.715978433107
2022-01-20,4474.690473576516
2022-01-21,4471.383588760016
2022-01-24,4326.563900884566
2022-01-25,4263.5600792961795
2022-01-27,4182.593840514651
2022-01-28,4222.086275806183
2022-01-31,4266.63086246369
2022-02-01,4268.218797941155
2022-02-02,4356.473948117791
2022-02-03,4305.401606539444
2022-02-04,4213.624371823551
2022-02-07,4151.787290713936
2022-02-08,4272.848099134499
2022-02-09,4302.864537711475
2022-02-10,4259.232721289396
2022-02-11,4192.311348705918
2022-02-14,4067.702315404908
2022-02-15,4132.495040910666
2022-02-16,4160.75914927919
2022-02-17,4122.182983898499
2022-02-18,4093.871879020612
2022-02-21,4043.246087024334
2022-02-22,3958.8324761988792
2022-02-23,4036.3687037512977
2022-02-24,3984.0135090946305
2022-02-25,4098.290989086419
2022-02-28,4146.128903927657
2022-03-02,4157.598679119642
2022-03-03,4066.9060512103233
2022-03-04,4085.418862666351
2022-03-07,4023.5603457229226
2022-03-08,4129.719525725906
2022-03-09,4167.8256303598255
2022-03-10,4139.0138728211605
2022-03-11,4214.815320641399
2022-03-14,4123.489691993102
2022-03-15,4144.447909628263
2022-03-16,4095.1202104898184
2022-03-17,4136.646255065015
2022-03-21,4246.035261820668
2022-03-22,4183.586867691141
2022-03-23,4186.199662178975
2022-03-24,4210.573690474684
2022-03-25,4148.657478779126
2022-03-28,4098.803969119446
2022-03-29,4161.2835147856895
2022-03-30,4126.866606867595
2022-03-31,4098.59836987158
2022-04-01,4102.063798466408
2022-04-04,4162.844147988801
2022-04-05,4213.906246527357
2022-04-06,4202.425929216811
2022-04-07,4220.049838674364
2022-04-08,4227.771488001038
2022-04-11,4216.592938005199
2022-04-12,4138.958551003724
2022-04-13,4165.368280108374
2022-04-18,4201.538927062347
2022-04-19,4192.505624377226
2022-04-20,4204.304819950643
2022-04-21,4200.11417824405
2022-04-22,4098.964134548778
2022-04-25,4068.6177398711516
2022-04-26,4037.111318460398
2022-04-27,3990.205609070813
2022-04-28,4088.112193480729
2022-04-29,4131.285520113941
2022-05-02,4123.294661114754
2022-05-04,4120.7924543060635
2022-05-05,4115.40763565106
2022-05-06,4066.961079471128
2022-05-09,4016.2367442070813
2022-05-10,3977.309436006262
2022-05-11,3979.2309586753195
2022-05-12,3969.7028750740974
2022-05-13,4006.4784363296326
2022-05-16,3966.6029583515488
2022-05-17,4001.7399429438437
2022-05-18,4049.0832511044773
2022-05-19,4017.675572059314
2022-05-20,4105.415030366161
2022-05-23,4157.448887948605
2022-05-24,4019.0814482855153
2022-05-25,4017.083929677875
2022-05-26,4003.0527334501553
2022-05-27,4028.377139983757
2022-05-30,4033.0973755532104
2022-05-31,4065.5020186527863
2022-06-01,4039.3400705134004
2022-06-02,3998.0952784069254
2022-06-03,3953.475539863811
2022-06-06,3970.2891259265652
2022-06-07,3916.5760439710334
2022-06-08,3867.106681080289
2022-06-09,3919.153051551259
2022-06-10,3913.791111822603
2022-06-13,3887.0158274378746
2022-06-14,3911.1613678360927
2022-06-15,3914.9948458623667
2022-06-16,3900.401681743355
2022-06-17,3872.1979545603836
2022-06-20,3871.4226410504466
2022-06-21,3872.614519054391
2022-06-22,3880.161205279703
2022-06-23,3874.0802675094856
2022-06-24,3866.0709427402903
2022-06-27,3874.58069097832
2022-06-28,3862.5742005547854
2022-06-29,3852.0467423194827
2022-06-30,3848.0076530206793
2022-07-01,3871.98377753101
2022-07-04,3867.3228905115952
2022-07-05,3877.297499955036
2022-07-06,3889.391139559182
2022-07-07,3921.327806401835
2022-07-08,3907.3829115285453
2022-07-11,3899.762502293993
2022-07-12,3877.171053579078
2022-07-13,3871.2025251760933
2022-07-14,3883.1554274946925
2022-07-15,3869.6647659661594
2022-07-18,3932.753503303563
2022-07-19,3964.740294359102
2022-07-20,3992.9248501996294
2022-07-21,3976.4887911210944
2022-07-22,3954.0242022563084
2022-07-25,3938.615753998353
2022-07-26,3900.029728351888
2022-07-27,3907.1130559679727
2022-07-28,3929.16205865921
2022-07-29,3945.6662009855004
2022-08-01,3978.146074680186
2022-08-02,3988.872689590434
2022-08-03,4000.192729551384
2022-08-04,4019.3097786879816
2022-08-05,3962.0766958526815
2022-08-08,3936.8528947417562
2022-08-10,3928.2089192162525
2022-08-11,3958.447620217696
2022-08-12,3982.418840850647
2022-08-16,4013.2495310882605
2022-08-17,4009.1743529598966
2022-08-18,4013.5799762561014
2022-08-19,4039.8290760194213
2022-08-22,3968.2202694148145
2022-08-23,3965.691434327002
2022-08-24,3972.230055556805
2022-08-25,3949.9479214779976
2022-08-26,3950.3137043527518
2022-08-29,3922.583911482015
2022-08-30,3981.571654179755
2022-09-01,4038.3027669695507
2022-09-02,4050.424991069182
2022-09-05,4065.0240683984284
2022-09-06,4100.335685696625
2022-09-07,4125.21292293215
2022-09-08,4109.967483395568
2022-09-09,4109.987713970962
2022-09-12,4095.7573498013503
2022-09-13,4084.282157128504
2022-09-14,4072.820032570426
2022-09-15,4077.5974831782164
2022-09-16,3966.2010350954006
2022-09-19,3935.5215431600673
2022-09-20,4030.481563930614
2022-09-21,4020.482359863166
2022-09-22,4051.6931954378288
2022-09-23,4032.597965321581
2022-09-26,3979.441253465325
2022-09-27,4025.610827703001
2022-09-28,3988.800163424769
2022-09-29,4049.261671956417
2022-09-30,4083.652448595367
2022-10-03,4115.21380516905
2022-10-04,4217.0818663567425
2022-10-06,4252.549577846475
2022-10-07,4252.756696264727
2022-10-10,4262.379653398608
2022-10-11,4245.283988852457
2022-10-12,4223.481957728465
2022-10-13,4189.905061710682
2022-10-14,4184.91611622723
2022-10-17,4165.129959433831
2022-10-18,4160.854682516826
2022-10-19,4178.398361956774
2022-10-20,4162.603190461866
2022-10-21,4157.96031599325
2022-10-24,4162.646533675812
2022-10-25,4166.633031116035
2022-10-27,4192.950267830758
2022-10-28,4176.761889947607
2022-10-31,4191.253152017122
2022-11-01,4211.125165291125
2022-11-02,4282.731891601917
2022-11-03,4305.565853558239
2022-11-04,4312.473914967322
2022-11-07,4281.798544094326
2022-11-09,4190.516059831558
2022-11-10,4172.037196657582
2022-11-11,4131.2446644696265
2022-11-14,4289.333188444781
2022-11-15,4330.410993317557
2022-11-16,4247.828577355724
2022-11-17,4306.002657687337
2022-11-18,4294.66731956863
2022-11-21,4219.911215860584
2022-11-22,4225.945395503952
2022-11-23,4217.9400157378695
2022-11-24,4206.6070225544
2022-11-25,4272.509750106127
2022-11-28,4313.356604791768
2022-11-29,4367.70090197499
2022-11-30,4403.752079746726
2022-12-01,4359.993939396141
2022-12-02,4393.278335989891
2022-12-05,4375.172649436995
2022-12-06,4374.479655708156
2022-12-07,4353.104346975239
2022-12-08,4331.68194154664
2022-12-09,4219.123844460156
2022-12-12,4217.969708848463
2022-12-13,4217.062247832136
2022-12-14,4217.296726258808
2022-12-15,4214.4927779949185
2022-12-16,4249.6637078909
2022-12-19,4231.624095487215
2022-12-20,4237.009006916811
2022-12-21,4245.93085613036
2022-12-22,4191.7705049358965
2022-12-23,4159.816935797683
2022-12-26,4141.159139304246
2022-12-27,4135.916813486144
2022-12-28,4144.8280387456125
2022-12-29,4297.3926334117805
2022-12-30,4247.833793835512
2023-01-02,4220.977245826532
2023-01-03,4207.057215852005
2023-01-04,4179.56039472965
2023-01-05,4185.271538429851
2023-01-06,4150.617530839566
2023-01-09,4144.695349692275
2023-01-10,4129.358484793459
2023-01-11,4106.345658044994
2023-01-12,4075.4170665986235
2023-01-13,4035.3909949521985
2023-01-16,3956.6344145801254
2023-01-17,3998.2827466652907
2023-01-18,3962.3823064113058
2023-01-19,3973.74017658301
2023-01-20,3963.6233793573742
2023-01-23,3935.967925206923
2023-01-24,3902.116048366299
2023-01-25,3845.0785784102927
2023-01-27,3832.9635991267874
2023-01-30,3777.1144962555177
2023-01-31,3706.7903087598056
2023-02-01,3663.17153980176
2023-02-02,3692.601292721005
2023-02-03,3707.5437683664027
2023-02-06,3698.9563449306197
2023-02-07,3702.2417008677894
2023-02-08,3697.4537733522106
2023-02-09,3700.1340317567765
2023-02-10,3803.959461870923
2023-02-13,3657.305245122111
2023-02-14,3668.3255192476067
2023-02-15,3682.5876608328904
2023-02-16,3693.2076520136584
2023-02-17,3696.056809689097
2023-02-20,3667.034176454213
2023-02-21,3661.15242889501
2023-02-22,3674.5485351800226
2023-02-23,3653.1065590763906
2023-02-24,3647.6413423327067
2023-02-27,3644.6164365905515
2023-02-28,3636.5337169227823
2023-03-01,3649.0264235356262
2023-03-02,3627.2776019202684
2023-03-03,3625.3228665315632
2023-03-06,3613.404550165323
2023-03-08,3584.7606065670093
2023-03-09,3570.8968603471308
2023-03-10,3560.838728907756
2023-03-13,3549.5442281991727
2023-03-14,3510.9483711352063
2023-03-15,3467.593940888665
2023-03-16,3447.3939373479316
2023-03-17,3410.8490908102085
2023-03-20,3387.8847321175344
2023-03-21,3382.611155559109
2023-03-22,3376.7135845378352
2023-03-23,3374.336856302514
2023-03-24,3373.350465793045
2023-03-27,3340.4552551430384
2023-03-28,3299.108331234532
2023-03-29,3354.5133178839637
2023-03-31,3324.294970116532
2023-04-03,3379.0915995081755
2023-04-05,3454.6303669217473
2023-04-06,3498.8282985971714
2023-04-10,3457.7518762374434
2023-04-11,3482.4309070138506
2023-04-12,3572.5156624348547
2023-04-13,3593.369678288001
2023-04-17,3555.3203746335766
2023-04-18,3617.8532239832334
2023-04-19,3607.3603288435183
2023-04-20,3608.301418917593
2023-04-21,3636.8762564691765
2023-04-24,3622.8768204532616
2023-04-25,3612.900768659881
2023-04-26,3603.725327207253
2023-04-27,3593.3837924347367
2023-04-28,3593.3885333655394
2023-05-02,3608.7605363195917
2023-05-03,3629.8687727543106
2023-05-04,3633.660350814235
2023-05-05,3627.615646843145
2023-05-08,3610.445629075256
2023-05-09,3624.8132456988756
2023-05-10,3605.358212614861
2023-05-11,3632.213939385237
2023-05-12,3616.7485237812643
2023-05-15,3658.905322060307
2023-05-16,3656.4434637937457
2023-05-17,3658.82584800169
2023-05-18,3660.918295875262
