Date,Close
2022-01-03,2404.7626953125
2022-01-04,2408.807553935718
2022-01-05,2405.842189002239
2022-01-06,2386.649952940357
2022-01-07,2420.523412268087
2022-01-10,2461.777935948466
2022-01-11,2420.3350888263276
2022-01-12,2425.866239384819
2022-01-13,2622.9816470046894
2022-01-14,2632.8442263920933
2022-01-17,2640.3200157266056
2022-01-18,2601.137074431207
2022-01-19,2594.0555713495005
2022-01-20,2617.6262942351236
2022-01-21,2454.4053944846573
2022-01-24,2410.313830690112
2022-01-25,2419.5803732972763
2022-01-27,2430.6080306869294
2022-01-28,2457.586731311446
2022-01-31,2467.8838503971856
2022-02-01,2480.641973744266
2022-02-02,2446.0929841561815
2022-02-03,2438.264248681865
2022-02-04,2438.2841981884594
2022-02-07,2347.231854765484
2022-02-08,2317.896058828942
2022-02-09,2385.6630842140207
2022-02-10,2359.830671229293
2022-02-11,2313.889784536849
2022-02-14,2241.161056166902
2022-02-15,2340.949956763125
2022-02-16,2329.7579264284077
2022-02-17,2336.051707954809
2022-02-18,2328.1671358856674
2022-02-21,2326.348580989543
2022-02-22,2321.4127703396275
2022-02-23,2329.9027822351354
2022-02-24,2233.843601733444
2022-02-25,2280.0886076715483
2022-02-28,2320.8028898683438
2022-03-02,2289.8888271230117
2022-03-03,2263.19474713251
2022-03-04,2205.0753219270773
2022-03-07,2154.0105388807374
2022-03-08,2187.307238563541
2022-03-09,2198.2719990728533
2022-03-10,2262.3589610726854
2022-03-11,2291.619047427273
2022-03-14,2289.5052600115996
2022-03-15,2341.054530771736
2022-03-16,2365.8572010077196
2022-03-17,2382.881210526147
2022-03-21,2384.0575676986873
2022-03-22,2373.349753499305
2022-03-23,2359.1058780606645
2022-03-24,2353.174328811759
2022-03-25,2391.2128852835767
2022-03-28,2302.2739276662464
2022-03-29,2298.448700141128
2022-03-30,2308.889463028671
2022-03-31,2313.4236968819228
2022-04-01,2380.8067618158207
2022-04-04,2416.0129671223385
2022-04-05,2593.3412113805707
2022-04-06,2595.7824580488273
2022-04-07,2555.352827560908
2022-04-08,2629.8115453563773
2022-04-11,2604.389230162717
2022-04-12,2589.6631420602484
2022-04-13,2559.0174676661354
2022-04-18,2513.4509276034883
2022-04-19,2545.6630454857223
2022-04-20,2561.9432765114484
2022-04-21,2682.77731197192
2022-04-22,2466.654290096869
2022-04-25,2492.982645925873
2022-04-26,2463.637807372208
2022-04-27,2452.02807529286
2022-04-28,2464.540045693518
2022-04-29,2433.38274398584
2022-05-02,2412.2939564554354
2022-05-04,2376.7790847407323
2022-05-05,2393.776252096907
2022-05-06,2367.186824212165
2022-05-09,2383.705020521831
2022-05-10,2342.8781432225956
2022-05-11,2374.4220762324408
2022-05-12,2379.9407399113675
2022-05-13,2484.2324762258722
2022-05-16,2519.025036384517
2022-05-17,2546.348515349418
2022-05-18,2504.124295362876
2022-05-19,2464.7246912018463
2022-05-20,2500.2786794212084
2022-05-23,2489.6511937265605
2022-05-24,2470.671140401247
2022-05-25,2391.1975565464877
2022-05-26,2359.475208335236
2022-05-27,2347.2647526567907
2022-05-30,2379.4491300666073
2022-05-31,2389.4392318073055
2022-06-01,2440.875658869711
2022-06-02,2484.851288743175
2022-06-03,2403.6235864115747
2022-06-06,2402.255687228011
2022-06-07,2363.9100641548207
2022-06-08,2264.6283510353474
